resort_slug,resort_name,state_code,state_name,country_code,country_name,is_active,is_region
shawnee-peak-us,Shawnee Peak,ME,ME,US,United States,True,False
shiga-kogen-jp,Shiga Kogen,Nagano,Nagano,JP,Japan,True,False
showdown-us,Showdown,MT,MT,US,United States,True,False
sierra-nevada-es-399,Sierra Nevada,Andalusia,Andalusia,ES,Spain,True,False
sierra-nevada-es-776,Sierra Nevada,Andalusia,Andalusia,ES,Spain,True,False
sierra-at-tahoe-us,Sierra-at-Tahoe,CA,CA,US,United States,True,False
siglufjorour-is,Siglufjorour,Iceland,Iceland,IS,Iceland,True,False
silver-mountain-us,Silver Mountain,ID,ID,US,United States,True,False
silverstar-ca,SilverStar,BC,BC,CA,Canada,True,False
silverton-mountain-us,Silverton Mountain,CO,CO,US,United States,True,False
sinaia-ro,Sinaia,Prahova,Prahova,RO,Romania,True,False
sipapu-us,Sipapu,NM,NM,US,United States,True,False
sisimiut-gl,Sisimiut,Western Greenland,Western Greenland,GL,Greenland,True,False
sitzmark-lifts-us,Sitzmark Lifts,WA,WA,US,United States,True,False
ski-apache-us,Ski Apache,NM,NM,US,United States,True,False
ski-arlberg-at,Ski Arlberg,Tyrol,Tyrol,AT,Austria,True,False
ski-big-bear-us,Ski Big Bear,PA,PA,US,United States,True,False
ski-bowl-us,Ski Bowl,OR,OR,US,United States,True,False
ski-bradford-us,Ski Bradford,MA,MA,US,United States,True,False
ski-brule-us,Ski Brule,MI,MI,US,United States,True,False
ski-butternut-us,Ski Butternut,MA,MA,US,United States,True,False
ski-cloudcroft-us,Ski Cloudcroft,NM,NM,US,United States,True,False
ski-cooper-us,Ski Cooper,CO,CO,US,United States,True,False
ski-four-lakes-us,Ski Four Lakes,IL,IL,US,United States,True,False
ski-granby-ranch-us,Ski Granby Ranch,CO,CO,US,United States,True,False
ski-gull-us,Ski Gull,MN,MN,US,United States,True,False
ski-martock-ca,Ski Martock,NS,NS,CA,Canada,True,False
ski-santa-fe-us,Ski Santa Fe,NM,NM,US,United States,True,False
ski-snowstar-us,Ski Snowstar,IL,IL,US,United States,True,False
ski-sundown-us,Ski Sundown,CT,CT,US,United States,True,False
ski-ward-us,Ski Ward,MA,MA,US,United States,True,False
skiland-us,Skiland,AK,AK,US,United States,True,False
sky-tavern-us,Sky Tavern,NV,NV,US,United States,True,False
sleeping-giant-us,Sleeping Giant,WY,WY,US,United States,True,False
sleepy-hollow-us,Sleepy Hollow,IA,IA,US,United States,True,False
smugglers-notch-us,Smugglers' Notch,VT,VT,US,United States,True,False
snoqualmie-us,Snoqualmie,WA,WA,US,United States,True,False
snow-creek-us-600,Snow Creek,MO,MO,US,United States,True,False
snow-creek-us-215,Snow Creek,KS,KS,US,United States,True,False
snow-king-us,Snow King,WY,WY,US,United States,True,False
snow-ridge-us,Snow Ridge,NY,NY,US,United States,True,False
snow-snake-ski-golf-us,Snow Snake Ski & Golf,MI,MI,US,United States,True,False
